Timestamp,Age,Gender,Occupation Status,What type of organizations are you affiliated with?,Do you use social media?,What social media platforms do you commonly use?,What is the average time you spend on social media every day?,"On a scale of 1 to 5, how often do you find yourself using social media without a specific purpose? ","On a scale of 1 to 5, how often do you get distracted by social media when you are busy doing something? ","On a scale of 1 to 5, how often do you feel restless if you haven't used social media in a while? ","On a scale of 1 to 5, how much are you bothered by worries? ","On a scale of 1-5, how often do you compare yourself to other successful people through the use of social media? ","On a scale of 1 to 5, how frequently does your interest in daily activities fluctuate? ","On a scale of 1 to 5, how often do you face issues regarding sleep? ","On a scale of 1 to 5, how often do you face issues regarding your appetite? "
2024/09/02 9:30:28 am GMT+5:30,26,Female,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,2 to 4 hours,2,3,2,4,4,3,3,3
2024/09/02 11:19:52 am GMT+5:30,25,Male,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,2,3,2,4,4,3,4,3
2024/09/02 11:29:52 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Snapchat,2 to 4 hours,2,2,4,2,4,3,3,4
2024/09/02 11:38:27 am GMT+5:30,25,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter,2 to 4 hours,2,3,3,3,2,2,3,3
2024/09/02 1:03:41 pm GMT+5:30,22,Male,University Student,Private,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,3,2,2,1,5,3,3,1
2024/09/02 11:13:19 pm GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;Snapchat,2 to 4 hours,4,2,3,3,3,3,2,3
2024/09/03 9:22:38 am GMT+5:30,24,Male,Salaried Worker,Private,Yes,Twitter;YouTube;Discord,2 to 4 hours,2,2,4,3,3,3,3,2
2024/09/03 9:23:05 am GMT+5:30,26,Female,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat;Pinterest,4 to 6 hours,3,2,5,4,2,3,4,2
2024/09/03 9:24:53 am GMT+5:30,26,Female,Salaried Worker,Private,Yes,Instagram;Twitter;Snapchat;Discord,4 to 6 hours,4,2,4,3,4,3,4,3
2024/09/03 9:26:29 am GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Discord;Pinterest,4 to 6 hours,3,2,3,4,3,3,4,3
2024/09/03 9:27:08 am GMT+5:30,26,Male,Salaried Worker,Private,No,YouTube;Pinterest,1 to 2 hours,1,3,2,2,2,2,3,3
2024/09/03 9:27:39 am GMT+5:30,20,Female,University Student,University,Yes,Twitter;YouTube;Snapchat,1 to 2 hours,3,2,3,3,3,4,3,3
2024/09/03 9:28:17 am GMT+5:30,21,Male,University Student,University,Yes,Facebook;Instagram;Discord,2 to 4 hours,3,3,3,3,2,3,2,3
2024/09/03 9:29:00 am GMT+5:30,22,Male,University Student,University,Yes,Facebook;Instagram;YouTube,2 to 4 hours,3,2,2,3,3,3,3,2
2024/09/03 9:29:28 am GMT+5:30,21,Female,University Student,University,Yes,Instagram;YouTube;Snapchat;Pinterest,2 to 4 hours,3,2,3,4,3,2,3,3
2024/09/03 9:29:57 am GMT+5:30,20,Female,University Student,University,Yes,Instagram;YouTube;Snapchat;Pinterest,2 to 4 hours,3,3,3,3,2,3,4,3
2024/09/03 9:30:25 am GMT+5:30,22,Female,University Student,University,Yes,Instagram;YouTube;Snapchat;Discord,2 to 4 hours,3,2,2,4,2,3,2,2
2024/09/03 9:30:56 am GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;Snapchat,2 to 4 hours,3,2,2,2,2,3,2,3
2024/09/03 9:31:28 am GMT+5:30,21,Male,University Student,University,Yes,Instagram;Twitter;Snapchat;Discord,4 to 6 hours,3,2,4,4,2,2,2,3
2024/09/03 9:32:40 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter,1 to 2 hours,3,2,2,3,3,2,3,2
2024/09/03 9:33:33 am GMT+5:30,23,Male,Salaried Worker,Private,Yes,Facebook;Instagram;YouTube;Pinterest,4 to 6 hours,2,2,3,2,4,3,3,2
2024/09/03 9:37:24 am GMT+5:30,20,Male,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat,2 to 4 hours,3,2,2,4,3,2,3,3
2024/09/03 9:39:45 am GMT+5:30,25,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter,1 to 2 hours,1,2,1,2,1,2,2,2
2024/09/03 9:41:41 am GMT+5:30,20,Female,University Student,University,Yes,Instagram;Snapchat;Pinterest,2 to 4 hours,3,2,3,5,3,4,2,3
2024/09/03 9:42:11 am GMT+5:30,23,Male,Salaried Worker,University,Yes,Facebook;Instagram;YouTube;Discord,1 to 2 hours,2,4,2,3,3,2,3,2
2024/09/03 9:43:03 am GMT+5:30,26,Female,Salaried Worker,Private,No,YouTube;Pinterest,1 to 2 hours,1,1,2,2,1,2,1,2
2024/09/03 12:55:32 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;YouTube;Snapchat,2 to 4 hours,3,3,2,2,2,3,3,1
2024/09/03 12:55:57 pm GMT+5:30,21,Female,University Student,University,Yes,Facebook;Instagram;Twitter;Snapchat,2 to 4 hours,3,3,3,3,2,2,3,2
2024/09/03 12:56:45 pm GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Snapchat,1 to 2 hours,2,3,3,3,2,3,2,2
2024/09/03 12:58:59 pm GMT+5:30,25,Male,Salaried Worker,Private,Yes,Instagram;YouTube;Snapchat;Discord,2 to 4 hours,3,4,3,4,3,3,1,1
2024/09/03 12:59:51 pm GMT+5:30,21,Male,University Student,University,Yes,Instagram;YouTube;Snapchat,1 to 2 hours,3,2,3,2,2,4,2,2
2024/09/03 1:00:45 pm GMT+5:30,26,Male,University Student,University,Yes,YouTube,2 to 4 hours,2,2,2,2,3,1,2,2
2024/09/03 1:01:14 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;YouTube;Snapchat;Discord;Pinterest,4 to 6 hours,3,5,3,4,3,5,3,2
2024/09/03 1:03:24 pm GMT+5:30,26,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Snapchat,2 to 4 hours,2,3,3,2,2,3,2,3
2024/09/03 9:28:45 pm GMT+5:30,20,Male,University Student,University,Yes,Facebook;Instagram;Snapchat;Discord,4 to 6 hours,2,3,4,4,1,2,2,3
2024/09/03 9:29:11 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;YouTube;Snapchat,2 to 4 hours,2,3,3,3,3,3,4,3
2024/09/03 9:29:47 pm GMT+5:30,23,Male,Salaried Worker,Private,No,YouTube;Snapchat,1 to 2 hours,1,2,1,1,2,2,2,2
2024/09/03 9:30:10 pm GMT+5:30,24,Male,Salaried Worker,Private,Yes,Facebook;Instagram,1 to 2 hours,3,2,1,4,3,2,3,3
2024/09/03 9:30:36 pm GMT+5:30,25,Female,Salaried Worker,Private,No,Snapchat;Pinterest,1 to 2 hours,2,2,3,2,1,3,3,2
2024/09/03 9:31:36 pm GMT+5:30,26,Male,Salaried Worker,Private,Yes,Instagram;YouTube;Snapchat,2 to 4 hours,3,2,2,3,3,2,3,3
2024/09/03 9:32:15 pm GMT+5:30,20,Female,University Student,University,Yes,Instagram;YouTube;Snapchat;Discord;Pinterest,4 to 6 hours,4,3,4,5,3,5,5,3
2024/09/03 9:37:58 pm GMT+5:30,21,Female,University Student,University,Yes,Facebook;Instagram;Twitter,2 to 4 hours,3,3,2,3,5,3,4,4
2024/09/03 9:38:24 pm GMT+5:30,22,Male,University Student,University,Yes,Facebook;Twitter;YouTube;Snapchat,2 to 4 hours,4,4,2,2,3,3,3,3
2024/09/03 9:42:26 pm GMT+5:30,21,Male,Salaried Worker,Private,Yes,Instagram;YouTube;Snapchat;Discord,2 to 4 hours,3,2,3,3,3,3,2,2
2024/09/03 9:44:01 pm GMT+5:30,22,Male,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat,2 to 4 hours,3,3,2,3,5,4,4,3
2024/09/03 9:50:42 pm GMT+5:30,26,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,4,4,2,2,4,3,4,2
2024/09/03 9:55:13 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;YouTube,2 to 4 hours,4,4,3,3,2,3,3,3
2024/09/04 8:56:10 am GMT+5:30,23,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Discord,2 to 4 hours,2,2,3,2,3,3,3,2
2024/09/04 9:00:22 am GMT+5:30,22,Female,University Student,University,Yes,Instagram;Twitter;YouTube,4 to 6 hours,4,4,3,5,3,3,4,2
2024/09/04 9:17:50 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Twitter;YouTube,2 to 4 hours,3,4,2,4,1,3,4,3
2024/09/04 9:38:08 am GMT+5:30,25,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;Snapchat;Pinterest,4 to 6 hours,4,2,3,2,3,3,3,3
2024/09/04 9:38:36 am GMT+5:30,26,Male,Salaried Worker,Private,No,YouTube,2 to 4 hours,3,2,2,3,1,1,2,2
2024/09/04 9:39:07 am GMT+5:30,20,Female,University Student,University,Yes,Facebook;Instagram;Snapchat;Discord,4 to 6 hours,3,1,3,4,4,3,3,2
2024/09/04 9:39:43 am GMT+5:30,23,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Discord,2 to 4 hours,3,2,2,4,4,2,3,3
2024/09/04 9:40:11 am GMT+5:30,24,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter,2 to 4 hours,3,2,4,4,2,3,3,4
2024/09/04 9:40:51 am GMT+5:30,20,Female,University Student,University,Yes,Instagram;Snapchat;Pinterest,2 to 4 hours,4,4,3,3,4,3,3,3
2024/09/04 9:41:19 am GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,4 to 6 hours,4,3,4,3,3,3,3,3
2024/09/04 9:41:50 am GMT+5:30,21,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube;Discord,4 to 6 hours,4,4,3,3,2,3,4,4
2024/09/04 9:42:16 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Instagram;YouTube;Snapchat;Discord;Pinterest,4 to 6 hours,4,3,3,4,4,4,4,4
2024/09/04 9:42:50 am GMT+5:30,26,Male,Salaried Worker,Private,No,YouTube,1 to 2 hours,3,2,2,2,3,3,2,2
2024/09/04 9:43:17 am GMT+5:30,25,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Snapchat;Pinterest,4 to 6 hours,5,4,3,3,3,4,4,3
2024/09/04 9:43:49 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Instagram;YouTube;Snapchat;Pinterest,4 to 6 hours,4,4,4,3,4,3,3,4
2024/09/04 9:44:09 am GMT+5:30,20,Female,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat;Discord;Pinterest,4 to 6 hours,3,4,4,3,3,3,3,4
2024/09/04 9:44:38 am GMT+5:30,22,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat;Pinterest,4 to 6 hours,3,3,3,4,4,5,5,3
2024/09/04 9:45:04 am GMT+5:30,20,Female,University Student,University,Yes,Facebook;Twitter;YouTube;Snapchat,2 to 4 hours,3,3,4,4,2,3,4,3
2024/09/04 9:46:25 am GMT+5:30,23,Male,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat;Pinterest,4 to 6 hours,3,4,3,3,4,4,4,3
2024/09/04 9:51:19 am GMT+5:30,23,Male,Salaried Worker,Private,Yes,Facebook;Twitter;YouTube;Snapchat;Discord;Pinterest,4 to 6 hours,3,4,3,3,2,3,3,2
2024/09/04 10:04:44 am GMT+5:30,26,Male,Salaried Worker,Private,Yes,Twitter;YouTube;Snapchat,2 to 4 hours,4,3,5,4,3,4,3,3
2024/09/04 10:05:33 am GMT+5:30,23,Female,Salaried Worker,Private,No,YouTube,1 to 2 hours,3,2,1,3,1,3,2,1
2024/09/04 10:09:19 am GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Discord;Pinterest,4 to 6 hours,3,3,4,3,3,5,4,4
2024/09/04 10:09:47 am GMT+5:30,23,Female,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat;Discord,4 to 6 hours,4,3,3,4,3,4,4,2
2024/09/04 10:28:12 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Instagram;Twitter;Snapchat;Pinterest,4 to 6 hours,3,4,4,4,3,4,2,3
2024/09/04 10:28:52 am GMT+5:30,25,Male,Salaried Worker,Private,Yes,Facebook;Twitter;Discord,2 to 4 hours,3,2,3,2,3,2,2,2
2024/09/04 11:06:13 am GMT+5:30,22,Female,Salaried Worker,Private,Yes,Facebook;Instagram;YouTube;Snapchat;Discord,4 to 6 hours,4,3,3,3,4,3,4,3
2024/09/04 11:06:57 am GMT+5:30,22,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,4 to 6 hours,4,4,2,4,4,3,3,3
2024/09/04 11:07:22 am GMT+5:30,20,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat;Discord,4 to 6 hours,4,3,4,2,2,3,3,3
2024/09/04 11:07:45 am GMT+5:30,21,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat,4 to 6 hours,5,4,4,4,4,2,3,4
2024/09/04 11:08:13 am GMT+5:30,20,Female,University Student,University,Yes,Instagram;YouTube;Snapchat;Pinterest,4 to 6 hours,4,3,4,4,3,3,4,3
2024/09/04 11:08:39 am GMT+5:30,22,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,4,2,3,3,4,2,4,3
2024/09/04 11:09:04 am GMT+5:30,22,Male,University Student,University,Yes,Instagram;YouTube;Pinterest,1 to 2 hours,1,2,1,3,2,2,3,2
2024/09/04 11:09:30 am GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;YouTube,1 to 2 hours,3,2,2,2,3,3,2,1
2024/09/04 11:09:54 am GMT+5:30,21,Female,University Student,University,Yes,Instagram;Snapchat;Pinterest,1 to 2 hours,3,2,4,3,2,3,3,2
2024/09/04 11:10:17 am GMT+5:30,22,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,4,2,2,3,3,3,3,2
2024/09/04 11:58:42 am GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,4 to 6 hours,4,3,3,3,3,4,2,3
2024/09/04 11:59:11 am GMT+5:30,21,Female,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat;Discord;Pinterest,4 to 6 hours,4,3,4,3,2,3,3,2
2024/09/04 12:01:02 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,1 to 2 hours,2,3,2,3,3,4,3,3
2024/09/04 12:02:07 pm GMT+5:30,21,Male,University Student,University,Yes,Facebook;Instagram;YouTube;Discord,2 to 4 hours,3,2,3,3,3,3,4,3
2024/09/04 12:02:49 pm GMT+5:30,22,Male,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat,2 to 4 hours,3,3,2,3,3,3,3,2
2024/09/04 12:04:03 pm GMT+5:30,21,Male,University Student,University,Yes,Instagram;Snapchat;Pinterest,2 to 4 hours,3,3,3,3,2,2,3,2
2024/09/04 12:04:32 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;YouTube;Snapchat;Pinterest,2 to 4 hours,3,2,3,3,3,2,4,2
2024/09/04 12:05:41 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,2 to 4 hours,3,2,3,3,3,4,3,4
2024/09/04 12:06:18 pm GMT+5:30,22,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube,2 to 4 hours,3,3,2,3,2,3,3,2
2024/09/04 12:06:53 pm GMT+5:30,20,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube,4 to 6 hours,4,3,3,3,4,4,4,3
2024/09/04 12:07:42 pm GMT+5:30,22,Female,University Student,University,Yes,Instagram;YouTube;Snapchat,1 to 2 hours,1,2,1,2,1,3,3,2
2024/09/04 12:08:45 pm GMT+5:30,20,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube,4 to 6 hours,4,3,4,4,3,4,3,2
2024/09/04 12:09:52 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;YouTube;Snapchat,2 to 4 hours,4,3,3,2,3,2,3,2
2024/09/04 12:11:10 pm GMT+5:30,24,Male,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,3,2,2,3,3,3,2,2
2024/09/04 12:11:51 pm GMT+5:30,22,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,3,2,3,2,3,2,3,2
2024/09/04 12:12:45 pm GMT+5:30,20,Female,University Student,University,Yes,Facebook;Instagram;Twitter,1 to 2 hours,1,2,3,3,2,3,3,3
2024/09/04 12:13:40 pm GMT+5:30,24,Male,Salaried Worker,Private,Yes,Facebook;Instagram,1 to 2 hours,1,1,2,1,2,2,2,1
2024/09/04 12:14:37 pm GMT+5:30,21,Male,University Student,University,No,YouTube;Pinterest,1 to 2 hours,2,2,3,2,2,2,3,3
2024/09/04 12:15:25 pm GMT+5:30,23,Female,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Discord,2 to 4 hours,3,2,2,4,2,2,4,2
2024/09/04 12:16:05 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,1 to 2 hours,3,3,2,2,3,3,3,2
2024/09/04 12:21:08 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;Snapchat;Pinterest,2 to 4 hours,3,3,4,3,3,3,3,3
2024/09/04 12:23:56 pm GMT+5:30,21,Female,University Student,University,Yes,Facebook;Instagram;YouTube,2 to 4 hours,2,2,3,2,2,3,3,3
2024/09/04 12:25:24 pm GMT+5:30,21,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Discord,2 to 4 hours,3,2,3,3,2,3,3,2
2024/09/04 12:26:18 pm GMT+5:30,21,Female,University Student,University,Yes,Facebook;Instagram;Twitter;Snapchat,2 to 4 hours,3,2,3,3,3,3,3,2
2024/09/04 12:26:51 pm GMT+5:30,20,Female,University Student,University,Yes,Twitter;YouTube;Snapchat,1 to 2 hours,3,2,1,2,1,3,3,2
2024/09/04 7:34:28 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;YouTube;Snapchat;Pinterest,4 to 6 hours,3,4,4,3,3,3,3,3
2024/09/04 7:36:03 pm GMT+5:30,22,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,2,2,2,3,2,4,3,2
2024/09/04 7:36:33 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Discord,4 to 6 hours,3,2,2,2,3,3,2,2
2024/09/04 7:38:39 pm GMT+5:30,22,Male,University Student,University,Yes,Instagram;YouTube;Snapchat;Discord,4 to 6 hours,3,3,3,3,3,2,4,2
2024/09/04 7:41:04 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube,2 to 4 hours,4,4,3,3,3,3,2,3
2024/09/04 7:43:41 pm GMT+5:30,20,Female,University Student,University,Yes,YouTube;Snapchat;Pinterest,1 to 2 hours,5,5,3,4,1,4,2,2
2024/09/04 7:52:49 pm GMT+5:30,21,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,4 to 6 hours,4,2,3,4,3,3,3,3
2024/09/04 7:58:14 pm GMT+5:30,22,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,2 to 4 hours,3,3,4,3,3,3,3,4
2024/09/04 8:03:42 pm GMT+5:30,23,Male,University Student,University,Yes,Instagram;Twitter;YouTube,2 to 4 hours,4,3,3,3,3,3,3,2
2024/09/04 8:04:04 pm GMT+5:30,26,Female,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat;Pinterest,4 to 6 hours,4,4,3,2,4,4,3,3
2024/09/04 8:05:57 pm GMT+5:30,23,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube,4 to 6 hours,5,4,2,3,1,3,2,3
2024/09/04 8:06:51 pm GMT+5:30,26,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,2,3,4,2,4,4,4,4
2024/09/04 8:07:41 pm GMT+5:30,25,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat;Discord;Pinterest,4 to 6 hours,4,4,4,4,3,3,2,1
2024/09/04 8:13:16 pm GMT+5:30,21,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Discord,4 to 6 hours,3,3,2,4,3,3,3,2
2024/09/04 8:13:43 pm GMT+5:30,25,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Discord,4 to 6 hours,4,5,3,4,3,5,3,2
2024/09/04 8:14:56 pm GMT+5:30,23,Female,University Student,University,Yes,Instagram;Snapchat;Pinterest,2 to 4 hours,3,2,3,3,1,3,3,3
2024/09/04 8:16:00 pm GMT+5:30,26,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Snapchat,2 to 4 hours,3,3,2,3,2,2,2,2